﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:6j6lpW7HYaGEpXVrNru10v","Quietly, Now","Aviino","Plush","1","4","159000","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:3LDeJxuWour2YL6spgUnCr","digital dreams","Knowmadic","Chillhop Essentials Winter 2019","1","15","171500","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:3mF7oK77gGzqdrWYEVfQ6B","Landing","dryhope","White Oak","1","2","146997","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:2k8mPdmQ26ENQYAHuVu9il","New Day","Philanthrope, Moods, The Field Tapes","Chillhop Essentials Winter 2019","1","16","152000","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:3VM8HXAmF2p5z0TLQSs3jh","Slowdrive","Aviino","Plush","1","5","164000","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:6HQxtRW3aQcF1QhxVLZaPp","Timezones","Chris Mazuera, Blue Wednesday","Chillhop Essentials Winter 2019","1","17","126000","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:0cC1pTC0ySMeouWJG9Arly","Click","Dontcry, Nokiaa","Stray","1","1","151672","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:1X9v9B7knRbg9OVhc2K8us","Blur","G Mills, Arbour","Chillhop Essentials Winter 2019","1","18","124000","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:3Dq4RMTSYszWsiAwbXhBGp","Dusk","Aviino","Plush","1","6","123000","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:2yTj8XO6lMvzHAVlyVhIHK","feelinglow","Melodiesinfonie","Chillhop Essentials Winter 2019","1","19","165500","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:3wkZZCqk1XMOab32bWZbUe","Be Alright","weird inside","Be Alright","1","1","120812","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:6oULl8RRedvKYX1uolAumz","by & by","Aso","Chillhop Essentials Winter 2019","1","20","234000","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:25TFflGw7G84u7jYJoesnf","At Our Core","fantompower","infinite (i)","1","2","115000","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:0rT55KfwEzcoxewfNikxxF","pumpkins","less.people","Chillhop Essentials Winter 2019","1","21","152000","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:7n2j6zMqFPvomsMjeKwgJY","Sleepwell","Aviino","Plush","1","7","125000","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:5Z2AfNZ6s4AFyvNfBGXw1l","June - auv Remix","J.Views, auv","Chillhop Essentials Winter 2019","1","22","266000","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:3li3l1xBKV3SYGS6HrNPNy","We Let Go","fantompower","infinite (i)","1","3","155000","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:0nPSOTbBfMhXwvOySBxNB0","jam session","Montell Fish","Chillhop Essentials Winter 2019","1","23","154000","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:5Qf87pWpBPhHLCODMEB49f","La Plage","C Y G N","Discover","1","8","175770","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:4bYXBJesQLB7g3AQB6SH6x","if i leave","SwuM","Chillhop Essentials Winter 2019","1","24","184000","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
